name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,era,xera,era_minus_xera_diff
"Davies, Zach",605200,2023,377,264,0.295,0.284,0.011,0.461,0.453,0.008,0.36,0.355,0.005,7,5.48,1.516
"Yarbrough, Ryan",642232,2023,376,288,0.271,0.268,0.003,0.421,0.438,-0.017,0.317,0.322,-0.005,4.52,4.39,0.127
"Lambert, Peter",663567,2023,375,271,0.273,0.267,0.006,0.534,0.499,0.035,0.367,0.354,0.013,5.36,5.44,-0.081
"Pérez, Eury",691587,2023,374,233,0.214,0.209,0.005,0.424,0.395,0.029,0.303,0.294,0.009,3.15,3.61,-0.457
"Brito, Jhony",666745,2023,372,268,0.244,0.25,-0.006,0.435,0.438,-0.003,0.318,0.327,-0.009,4.28,4.55,-0.266
"Muller, Kyle",666205,2023,372,274,0.346,0.315,0.031,0.568,0.546,0.022,0.417,0.402,0.015,7.6,7.4,0.197
"Anderson, Chase",502624,2023,372,268,0.274,0.258,0.016,0.474,0.442,0.032,0.355,0.34,0.015,5.42,4.96,0.461
"Woo, Bryan",693433,2023,371,240,0.227,0.219,0.008,0.393,0.348,0.045,0.305,0.288,0.017,4.21,3.45,0.759
"Chirinos, Yonny",630023,2023,367,281,0.275,0.302,-0.027,0.483,0.51,-0.027,0.35,0.375,-0.025,5.4,6.24,-0.84
"Winckowski, Josh",670174,2023,367,251,0.267,0.245,0.022,0.393,0.371,0.022,0.319,0.302,0.017,2.88,3.82,-0.939
"Junis, Jakob",596001,2023,367,243,0.269,0.241,0.028,0.451,0.396,0.055,0.328,0.299,0.029,3.87,3.74,0.132
"Barria, Jaime",642545,2023,362,268,0.277,0.281,-0.004,0.512,0.495,0.017,0.357,0.353,0.004,5.68,5.41,0.274
"Fujinami, Shintaro",660261,2023,357,222,0.242,0.24,0.002,0.404,0.41,-0.006,0.332,0.335,-0.003,7.18,4.8,2.377
"Beck, Tristan",663941,2023,354,263,0.252,0.245,0.007,0.388,0.396,-0.008,0.298,0.298,0,3.92,3.71,0.208
"Hudson, Dakota",641712,2023,354,269,0.283,0.292,-0.009,0.441,0.482,-0.041,0.35,0.369,-0.019,4.98,6,-1.02
"Bielak, Brandon",656232,2023,353,250,0.277,0.27,0.007,0.46,0.457,0.003,0.357,0.354,0.003,3.83,5.44,-1.615
"Blach, Ty",621389,2023,352,272,0.33,0.332,-0.002,0.537,0.543,-0.006,0.389,0.399,-0.01,5.54,7.26,-1.722
"Strahm, Matt",621381,2023,351,219,0.212,0.212,0,0.375,0.361,0.014,0.274,0.276,-0.002,3.29,3.16,0.125
"Falter, Bailey",663559,2023,347,267,0.288,0.28,0.008,0.503,0.467,0.036,0.354,0.339,0.015,5.36,4.93,0.425
"Williams, Gavin",668909,2023,345,223,0.219,0.244,-0.025,0.368,0.381,-0.013,0.299,0.316,-0.017,3.29,4.21,-0.917
"Marsh, Alec",679525,2023,342,208,0.266,0.257,0.009,0.524,0.486,0.038,0.381,0.367,0.014,5.69,5.92,-0.229
"Stratton, Chris",608717,2023,338,230,0.227,0.225,0.002,0.368,0.383,-0.015,0.283,0.293,-0.01,3.92,3.58,0.339
"Irvin, Cole",608344,2023,336,240,0.256,0.282,-0.026,0.42,0.492,-0.072,0.318,0.358,-0.04,4.42,5.59,-1.168
"Lawrence, Justin",664875,2023,326,205,0.235,0.222,0.013,0.354,0.334,0.02,0.303,0.299,0.004,3.72,3.74,-0.02
"Tonkin, Michael",543859,2023,325,225,0.217,0.24,-0.023,0.38,0.403,-0.023,0.283,0.305,-0.022,4.28,3.9,0.375
"Holton, Tyler",663947,2023,324,231,0.185,0.239,-0.054,0.304,0.389,-0.085,0.234,0.29,-0.056,2.11,3.5,-1.391
